         4230830 function calls (4160770 primitive calls) in 29.786 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      579    0.001    0.000    0.002    0.000 inspect.py:397(getfile)
      614    0.002    0.000    0.002    0.000 markers.py:366(_half_fill)
       44    0.000    0.000    0.002    0.000 offsetbox.py:147(__init__)
      102    0.000    0.000    0.002    0.000 pyparsing.py:1473(clear)
      615    0.001    0.000    0.002    0.000 collections.py:400(set_hatch)
     1267    0.002    0.000    0.002    0.000 _pylab_helpers.py:105(get_active)
     1996    0.001    0.000    0.002    0.000 __init__.py:2224(_normalize_cached)
      538    0.001    0.000    0.002    0.000 lines.py:1210(set_ydata)
        1    0.000    0.000    0.002    0.002 iau2015.py:5(<module>)
     16/2    0.000    0.000    0.002    0.001 pyparsing.py:3696(parseImpl)
       13    0.000    0.000    0.002    0.000 transforms.py:1360(contains_branch_seperately)
       69    0.001    0.000    0.002    0.000 _base.py:3639(format_xdata)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3818(parseImpl)
      160    0.001    0.000    0.002    0.000 backend_qt5.py:268(_dpi_ratio)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
        6    0.000    0.000    0.002    0.000 _threadsafety.py:43(decorate)
       18    0.002    0.000    0.002    0.000 {compile}
      185    0.000    0.000    0.002    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 logger.py:477(_set_defaults)
       57    0.000    0.000    0.002    0.000 transforms.py:1882(transform_point)
       25    0.000    0.000    0.002    0.000 abc.py:105(register)
        2    0.000    0.000    0.002    0.001 format.py:463(_read_array_header)
        2    0.000    0.000    0.002    0.001 collections.py:941(__init__)
        1    0.001    0.001    0.002    0.002 six.py:21(<module>)
        2    0.000    0.000    0.002    0.001 table.py:743(_init_from_cols)
      182    0.001    0.000    0.002    0.000 linecache.py:47(checkcache)
       13    0.000    0.000    0.002    0.000 transforms.py:1340(contains_branch)
        2    0.001    0.000    0.002    0.001 base.py:3(<module>)
        1    0.001    0.001    0.002    0.002 pyplot.py:1947(get_plot_commands)
      183    0.001    0.000    0.002    0.000 {method 'decode' of 'str' objects}
       55    0.002    0.000    0.002    0.000 {built-in method flush}
       24    0.000    0.000    0.002    0.000 lines.py:1261(_get_rgba_ln_color)
       75    0.001    0.000    0.002    0.000 function_base.py:9(linspace)
      133    0.001    0.000    0.002    0.000 figure.py:462(_get_axes)
        1    0.001    0.001    0.002    0.002 basic.py:7(<module>)
        1    0.001    0.001    0.002    0.002 converters.py:5(<module>)
        1    0.000    0.000    0.002    0.002 formats.py:630(TimezoneInfo)
       34    0.000    0.000    0.002    0.000 fromnumeric.py:1490(nonzero)
      357    0.001    0.000    0.002    0.000 sre_parse.py:237(_class_escape)
       24    0.000    0.000    0.002    0.000 core.py:524(__bytes__)
      324    0.001    0.000    0.002    0.000 lines.py:888(_get_markerfacecolor)
      138    0.000    0.000    0.002    0.000 text.py:236(get_rotation)
        1    0.000    0.000    0.002    0.002 version.py:27(<module>)
       10    0.000    0.000    0.002    0.000 transforms.py:1535(transform_path)
      919    0.001    0.000    0.002    0.000 copy_reg.py:92(__newobj__)
     2980    0.002    0.000    0.002    0.000 version.py:244(<genexpr>)
     20/8    0.000    0.000    0.002    0.000 pyparsing.py:3506(parseImpl)
        1    0.001    0.001    0.002    0.002 csr.py:1(<module>)
       77    0.000    0.000    0.002    0.000 backend_pdf.py:1997(encode_string)
       49    0.000    0.000    0.002    0.000 patches.py:273(_set_edgecolor)
     6137    0.002    0.000    0.002    0.000 core.py:2043(powers)
       49    0.000    0.000    0.002    0.000 pyparsing.py:1907(__or__)
        1    0.001    0.001    0.002    0.002 _base.py:410(_AxesBase)
        1    0.001    0.001    0.002    0.002 _distn_infrastructure.py:1626(pdf)
        1    0.002    0.002    0.002    0.002 trf.py:95(<module>)
     1992    0.001    0.000    0.002    0.000 string.py:222(lower)
       13    0.000    0.000    0.002    0.000 _base.py:213(_xy_from_xy)
      615    0.001    0.000    0.002    0.000 colors.py:874(__init__)
      140    0.000    0.000    0.002    0.000 constant.py:37(wrap)
      436    0.001    0.000    0.002    0.000 lines.py:962(set_antialiased)
     4920    0.002    0.000    0.002    0.000 path.py:222(codes)
        1    0.000    0.000    0.002    0.002 texmanager.py:34(<module>)
       31    0.000    0.000    0.002    0.000 cm.py:34(revcmap)
        1    0.001    0.001    0.002    0.002 np_utils.py:6(<module>)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
       12    0.000    0.000    0.002    0.000 column.py:349(__array_finalize__)
        1    0.000    0.000    0.002    0.002 urllib2.py:76(<module>)
       99    0.000    0.000    0.002    0.000 genericpath.py:34(isfile)
      645    0.001    0.000    0.002    0.000 _base.py:3150(get_xscale)
     1302    0.001    0.000    0.002    0.000 transforms.py:2746(get_matrix)
       26    0.000    0.000    0.002    0.000 axis.py:538(_get_text1_transform)
        1    0.000    0.000    0.002    0.002 __init__.py:2286(EntryPoint)
       15    0.002    0.000    0.002    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      138    0.000    0.000    0.002    0.000 utils.py:30(_get_first_sentence)
      299    0.001    0.000    0.002    0.000 font_manager.py:955(_json_decode)
       34    0.000    0.000    0.002    0.000 configuration.py:481(get_config)
      679    0.001    0.000    0.002    0.000 numeric.py:2963(__init__)
        1    0.001    0.001    0.002    0.002 _differentiable_functions.py:1(<module>)
      102    0.001    0.000    0.002    0.000 collections.py:108(clear)
        1    0.000    0.000    0.002    0.002 configobj.py:424(TemplateInterpolation)
       49    0.001    0.000    0.002    0.000 transforms.py:2909(nonsingular)
        1    0.002    0.002    0.002    0.002 _exceptions.py:1(<module>)
        1    0.001    0.001    0.002    0.002 dumper.py:2(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
     1780    0.001    0.000    0.002    0.000 sre_compile.py:101(fixup)
       99    0.000    0.000    0.002    0.000 fromnumeric.py:1973(all)
        6    0.000    0.000    0.002    0.000 core.py:272(__init__)
     2664    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.002    0.000 core.py:116(__init__)
        2    0.000    0.000    0.002    0.001 axis.py:1794(_get_label)
        1    0.000    0.000    0.002    0.002 backend_qt5.py:545(closeEvent)
        1    0.001    0.001    0.002    0.002 yacc.py:62(<module>)
        3    0.000    0.000    0.002    0.001 quantity.py:818(to)
        1    0.000    0.000    0.002    0.002 scanner.py:2(<module>)
       26    0.000    0.000    0.002    0.000 _base.py:791(get_yaxis_text1_transform)
       36    0.000    0.000    0.002    0.000 markers.py:702(_set_tickleft)
        1    0.000    0.000    0.002    0.002 decorators.py:156(__call__)
      670    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
      630    0.001    0.000    0.002    0.000 transforms.py:286(__array__)
      314    0.001    0.000    0.002    0.000 text.py:949(set_color)
      154    0.001    0.000    0.002    0.000 transforms.py:2808(__init__)
        6    0.000    0.000    0.002    0.000 _base.py:3316(set_ybound)
      231    0.001    0.000    0.002    0.000 sre_parse.py:228(isname)
      306    0.001    0.000    0.002    0.000 sre_parse.py:190(__init__)
        6    0.000    0.000    0.002    0.000 warnings.py:67(filterwarnings)
       14    0.000    0.000    0.002    0.000 quantity.py:412(__array_prepare__)
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
     1853    0.001    0.000    0.001    0.000 fromnumeric.py:1574(shape)
        1    0.001    0.001    0.001    0.001 util.py:3(<module>)
        1    0.000    0.000    0.001    0.001 metadata.py:4(<module>)
       23    0.000    0.000    0.001    0.000 __init__.py:1574(getLogger)
      621    0.001    0.000    0.001    0.000 collections.py:715(get_edgecolor)
       32    0.001    0.000    0.001    0.000 ticker.py:501(__init__)
  238/130    0.000    0.000    0.001    0.000 _base.py:766(get_yaxis_transform)
      481    0.001    0.000    0.001    0.000 misc.py:518(is_public_member)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
     4124    0.001    0.000    0.001    0.000 font_manager.py:775(get_size)
       26    0.000    0.000    0.001    0.000 axis.py:541(_get_text2_transform)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3499(__init__)
     4459    0.001    0.000    0.001    0.000 path.py:260(should_simplify)
       69    0.001    0.000    0.001    0.000 pyparsing.py:2371(__init__)
       11    0.000    0.000    0.001    0.000 decorator.py:169(make)
     3354    0.001    0.000    0.001    0.000 artist.py:769(get_rasterized)
       76    0.000    0.000    0.001    0.000 pyparsing.py:3554(__str__)
        1    0.001    0.001    0.001    0.001 _parser.py:30(<module>)
       54    0.000    0.000    0.001    0.000 pickle.py:967(load_string)
        1    0.000    0.000    0.001    0.001 texmanager.py:83(TexManager)
     2478    0.001    0.000    0.001    0.000 axis.py:1512(have_units)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.001    0.001    0.001    0.001 subprocess.py:14(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:52(<module>)
       16    0.000    0.000    0.001    0.000 mathtext.py:2580(main)
      437    0.001    0.000    0.001    0.000 lines.py:975(set_color)
        1    0.001    0.001    0.001    0.001 basic.py:5(<module>)
      714    0.001    0.000    0.001    0.000 backend_pdf.py:2223(stroke)
        3    0.000    0.000    0.001    0.000 quantity.py:811(_to_value)
       12    0.000    0.000    0.001    0.000 mathtext.py:615(get_xheight)
        1    0.000    0.000    0.001    0.001 backend_pdf.py:1713(draw_path_collection)
        1    0.001    0.001    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.001    0.001 backend_qt5.py:637(_widgetclosed)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3678(__init__)
      109    0.000    0.000    0.001    0.000 textwrap.py:146(_munge_whitespace)
      436    0.001    0.000    0.001    0.000 lines.py:1140(set_markeredgecolor)
      357    0.001    0.000    0.001    0.000 {function sizeHint at 0x7f98a9541578}
        1    0.000    0.000    0.001    0.001 hdulist.py:3(<module>)
      300    0.001    0.000    0.001    0.000 rcsetup.py:125(validate_bool)
      144    0.001    0.000    0.001    0.000 {_codecs.utf_8_decode}
     4163    0.001    0.000    0.001    0.000 path.py:241(simplify_threshold)
       68    0.000    0.000    0.001    0.000 codecs.py:311(decode)
       75    0.001    0.000    0.001    0.000 latex.py:90(format_exponential_notation)
      140    0.000    0.000    0.001    0.000 core.py:530(__unicode__)
       26    0.000    0.000    0.001    0.000 _base.py:818(get_yaxis_text2_transform)
        1    0.000    0.000    0.001    0.001 _pylab_helpers.py:46(destroy)
        2    0.000    0.000    0.001    0.001 table.py:794(_make_table_from_cols)
       36    0.000    0.000    0.001    0.000 markers.py:708(_set_tickright)
       12    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.001    0.001 pilutil.py:7(<module>)
      118    0.000    0.000    0.001    0.000 data_info.py:223(__get__)
        1    0.000    0.000    0.001    0.001 runner.py:209(make_test_runner_in)
        1    0.000    0.000    0.001    0.001 backend_bases.py:320(draw_path_collection)
        1    0.001    0.001    0.001    0.001 polynomial.py:55(<module>)
        2    0.000    0.000    0.001    0.001 util.py:1(<module>)
      368    0.001    0.000    0.001    0.000 font_manager.py:817(set_style)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       22    0.000    0.000    0.001    0.000 __init__.py:1032(getLogger)
      126    0.000    0.000    0.001    0.000 font_manager.py:1361(is_opentype_cff_font)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       12    0.000    0.000    0.001    0.000 column.py:701(_copy_attrs)
       14    0.001    0.000    0.001    0.000 ticker.py:668(_compute_offset)
     6420    0.001    0.000    0.001    0.000 transforms.py:1821(get_affine)
        1    0.001    0.001    0.001    0.001 backend_tools.py:12(<module>)
        1    0.000    0.000    0.001    0.001 file.py:3(<module>)
     4029    0.001    0.000    0.001    0.000 core.py:2029(scale)
     1554    0.001    0.000    0.001    0.000 {method 'readline' of 'file' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
       70    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.000    0.000    0.001    0.001 pkgutil.py:464(find_loader)
        1    0.001    0.001    0.001    0.001 core.py:2642(MaskedArray)
       20    0.000    0.000    0.001    0.000 mathtext.py:2812(group)
        1    0.000    0.000    0.001    0.001 type1font.py:23(<module>)
       15    0.001    0.000    0.001    0.000 __init__.py:2367(normalize_kwargs)
        1    0.001    0.001    0.001    0.001 ticker.py:165(<module>)
        1    0.000    0.000    0.001    0.001 numpycompat.py:5(<module>)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3791(parseImpl)
       11    0.000    0.000    0.001    0.000 _funcsigs.py:469(__init__)
     4442    0.001    0.000    0.001    0.000 font_manager.py:784(get_file)
       14    0.000    0.000    0.001    0.000 backend_bases.py:2337(mpl_connect)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
      643    0.001    0.000    0.001    0.000 _base.py:3470(get_yscale)
       27    0.000    0.000    0.001    0.000 offsetbox.py:212(get_offset)
        1    0.001    0.001    0.001    0.001 __init__.py:262(_reset_cache)
        2    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        6    0.000    0.000    0.001    0.000 backend_qt5.py:297(get_width_height)
        4    0.000    0.000    0.001    0.000 pyparsing.py:1419(tryParse)
      606    0.001    0.000    0.001    0.000 sre_compile.py:546(isstring)
        1    0.001    0.001    0.001    0.001 core.py:34(<module>)
      138    0.001    0.000    0.001    0.000 text.py:56(get_rotation)
     1036    0.001    0.000    0.001    0.000 inspect.py:67(ismethod)
        1    0.001    0.001    0.001    0.001 cyaml.py:2(<module>)
       21    0.000    0.000    0.001    0.000 legend_handler.py:65(_update_prop)
      135    0.001    0.000    0.001    0.000 figure.py:82(as_list)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        5    0.000    0.000    0.001    0.000 _base.py:846(_update_transScale)
        1    0.000    0.000    0.001    0.001 yacc.py:1978(read_table)
      694    0.001    0.000    0.001    0.000 pickle.py:1184(load_append)
      530    0.001    0.000    0.001    0.000 sre_parse.py:75(opengroup)
       98    0.001    0.000    0.001    0.000 transforms.py:2193(__init__)
        1    0.000    0.000    0.001    0.001 type1font.py:43(Type1Font)
      102    0.001    0.000    0.001    0.000 offsetbox.py:105(_get_aligned_offsets)
       19    0.000    0.000    0.001    0.000 __init__.py:117(parse_version)
        1    0.000    0.000    0.001    0.001 _stats_mstats_common.py:1(<module>)
        3    0.000    0.000    0.001    0.000 metadata.py:88(__new__)
        1    0.000    0.000    0.001    0.001 markers.py:84(<module>)
        3    0.000    0.000    0.001    0.000 _version.py:7(<module>)
      653    0.001    0.000    0.001    0.000 __init__.py:313(__init__)
        1    0.001    0.001    0.001    0.001 _layoutbox.py:17(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:161(_initialize_astropy)
       27    0.000    0.000    0.001    0.000 core.py:181(iter_style_files)
       30    0.000    0.000    0.001    0.000 patches.py:288(set_edgecolor)
      221    0.000    0.000    0.001    0.000 inspect.py:339(getmro)
      303    0.001    0.000    0.001    0.000 {_sre.compile}
        6    0.000    0.000    0.001    0.000 gridspec.py:266(get_subplot_params)
        4    0.000    0.000    0.001    0.000 backend_bases.py:1770(__init__)
      210    0.001    0.000    0.001    0.000 __init__.py:2026(is_math_text)
       56    0.000    0.000    0.001    0.000 _funcsigs.py:232(__init__)
       83    0.001    0.000    0.001    0.000 docstring.py:44(__call__)
        7    0.000    0.000    0.001    0.000 legend.py:741(_findoffset)
       64    0.000    0.000    0.001    0.000 pyparsing.py:4208(__init__)
        9    0.000    0.000    0.001    0.000 core.py:948(to)
       20    0.000    0.000    0.001    0.000 legend_handler.py:71(_default_update_prop)
        3    0.000    0.000    0.001    0.000 backend_qt5.py:264(_update_figure_dpi)
     2985    0.001    0.000    0.001    0.000 {_sre.getlower}
       10    0.000    0.000    0.001    0.000 __init__.py:2219(normalize_path)
       12    0.000    0.000    0.001    0.000 offsetbox.py:581(__init__)
     3513    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
  552/536    0.000    0.000    0.001    0.000 spines.py:158(_ensure_position_is_set)
        1    0.000    0.000    0.001    0.001 daophot.py:24(DaophotHeader)
       13    0.000    0.000    0.001    0.000 pyparsing.py:1831(__sub__)
       69    0.001    0.000    0.001    0.000 _base.py:3652(format_ydata)
      659    0.001    0.000    0.001    0.000 backend_pdf.py:2201(get_canvas_width_height)
        4    0.000    0.000    0.001    0.000 _base.py:2848(tick_params)
        1    0.000    0.000    0.001    0.001 hdulist.py:163(HDUList)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.001    0.001 urllib2.py:852(AbstractBasicAuthHandler)
       33    0.001    0.000    0.001    0.000 cm.py:28(_reverser)
       98    0.001    0.000    0.001    0.000 core.py:2985(view)
        2    0.000    0.000    0.001    0.001 _base.py:962(_gen_axes_patch)
     1884    0.001    0.000    0.001    0.000 artist.py:897(get_label)
      147    0.000    0.000    0.001    0.000 pyparsing.py:2346(__init__)
        1    0.000    0.000    0.001    0.001 functools_lru_cache.py:1(<module>)
        1    0.001    0.001    0.001    0.001 transforms.py:30(<module>)
     1375    0.001    0.000    0.001    0.000 colors.py:228(<genexpr>)
       16    0.000    0.000    0.001    0.000 mathtext.py:2586(math)
      288    0.001    0.000    0.001    0.000 font_manager.py:829(set_variant)
     2718    0.001    0.000    0.001    0.000 {numpy.core.umath.geterrobj}
      188    0.001    0.000    0.001    0.000 pickle.py:999(load_tuple)
        4    0.000    0.000    0.001    0.000 text.py:541(set_clip_path)
      150    0.000    0.000    0.001    0.000 __init__.py:876(__call__)
      340    0.000    0.000    0.001    0.000 pprint.py:73(_auto_format_func)
        2    0.000    0.000    0.001    0.001 _base.py:625(set_figure)
        9    0.000    0.000    0.001    0.000 core.py:885(_get_converter)
       52    0.001    0.000    0.001    0.000 pyparsing.py:2390(__init__)
        1    0.000    0.000    0.001    0.001 artist.py:1065(ArtistInspector)
      300    0.001    0.000    0.001    0.000 text.py:240(set_rotation_mode)
      659    0.001    0.000    0.001    0.000 backend_pdf.py:2268(dash_cmd)
       14    0.000    0.000    0.001    0.000 quantity_helper.py:421(converters_and_unit)
     3682    0.001    0.000    0.001    0.000 font_manager.py:781(get_size_in_points)
     3354    0.001    0.000    0.001    0.000 artist.py:789(get_agg_filter)
       10    0.000    0.000    0.001    0.000 polynomial.py:1137(__call__)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.001    0.001    0.001    0.001 triangulation.py:1(<module>)
      248    0.001    0.000    0.001    0.000 quantity.py:846(to_value)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
      594    0.001    0.000    0.001    0.000 ticker.py:1994(nearest_long)
      999    0.001    0.000    0.001    0.000 inspect.py:208(iscode)
        6    0.000    0.000    0.001    0.000 backend_bases.py:2063(get_width_height)
        1    0.000    0.000    0.001    0.001 configobj.py:1176(__init__)
       98    0.001    0.000    0.001    0.000 {numpy.core.multiarray.where}
      153    0.000    0.000    0.001    0.000 latex.py:31(_get_unit_name)
        1    0.000    0.000    0.001    0.001 version.py:63(StrictVersion)
      154    0.001    0.000    0.001    0.000 data_info.py:276(__setattr__)
       81    0.001    0.000    0.001    0.000 utils.py:73(__call__)
     2456    0.001    0.000    0.001    0.000 version.py:48(<lambda>)
      117    0.000    0.000    0.001    0.000 ticker.py:557(fix_minus)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       63    0.000    0.000    0.001    0.000 core.py:1010(is_final_result)
        1    0.000    0.000    0.001    0.001 patches.py:1944(BoxStyle)
       27    0.000    0.000    0.001    0.000 font_manager.py:1026(set)
     20/4    0.000    0.000    0.001    0.000 pyparsing.py:3278(streamline)
       11    0.000    0.000    0.001    0.000 mathtext.py:2198(Error)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
       54    0.000    0.000    0.001    0.000 configuration.py:447(_validate_val)
      772    0.001    0.000    0.001    0.000 backend_bases.py:1103(set_linewidth)
       51    0.000    0.000    0.001    0.000 generic.py:486(_format_unit_list)
        1    0.000    0.000    0.001    0.001 vounit.py:4(<module>)
       94    0.001    0.000    0.001    0.000 __init__.py:1160(__setitem__)
      115    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
       40    0.000    0.000    0.001    0.000 core.py:108(get_object_signature)
      172    0.001    0.000    0.001    0.000 __init__.py:161(__init__)
        1    0.000    0.000    0.001    0.001 markers.py:109(MarkerStyle)
        1    0.000    0.000    0.001    0.001 pyplot.py:1432(axis)
       11    0.000    0.000    0.001    0.000 decorator.py:95(__init__)
        1    0.001    0.001    0.001    0.001 _ccallback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 configobj.py:1234(_load)
        1    0.000    0.000    0.001    0.001 configuration.py:629(update_default_config)
       10    0.001    0.000    0.001    0.000 polynomial.py:615(polyval)
        2    0.000    0.000    0.001    0.000 column.py:59(_auto_names)
        1    0.000    0.000    0.001    0.001 _base.py:1662(axis)
      309    0.000    0.000    0.001    0.000 collections.py:375(<genexpr>)
      125    0.001    0.000    0.001    0.000 backend_agg.py:55(get_hinting_flag)
       14    0.000    0.000    0.001    0.000 pyparsing.py:1985(__call__)
        1    0.000    0.000    0.001    0.001 _numpy_compat.py:3(<module>)
      281    0.000    0.000    0.001    0.000 font_manager.py:1102(get_default_size)
        2    0.000    0.000    0.001    0.000 backend_qt5.py:277(_update_dpi)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1836(__mul__)
      664    0.001    0.000    0.001    0.000 backend_bases.py:1056(set_dashes)
       54    0.000    0.000    0.001    0.000 docstring.py:88(__call__)
        1    0.000    0.000    0.001    0.001 backend_pdf.py:2445(__init__)
        1    0.001    0.001    0.001    0.001 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.001    0.001 backend_pdf.py:432(__init__)
      255    0.000    0.000    0.001    0.000 pyparsing.py:3559(<genexpr>)
       18    0.000    0.000    0.001    0.000 transforms.py:1680(__eq__)
        1    0.000    0.000    0.001    0.001 table.py:636(TableHDU)
       93    0.001    0.000    0.001    0.000 core.py:605(get_masked_subclass)
        1    0.000    0.000    0.001    0.001 header.py:44(Header)
     1210    0.001    0.000    0.001    0.000 backend_pdf.py:287(pdfRepr)
     1166    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
        2    0.000    0.000    0.001    0.000 _distn_infrastructure.py:3378(get_distribution_names)
        1    0.000    0.000    0.001    0.001 vounit.py:20(VOUnit)
      102    0.000    0.000    0.001    0.000 __init__.py:1787(has_metadata)
        1    0.001    0.001    0.001    0.001 model.py:1(<module>)
       54    0.000    0.000    0.001    0.000 validate.py:594(check)
        1    0.001    0.001    0.001    0.001 compressed.py:1(<module>)
     1288    0.001    0.000    0.001    0.000 axis.py:767(get_scale)
       23    0.000    0.000    0.001    0.000 core.py:6329(__init__)
      240    0.001    0.000    0.001    0.000 {repr}
        2    0.000    0.000    0.001    0.000 patches.py:2485(__init__)
     12/2    0.000    0.000    0.001    0.000 pyparsing.py:1885(makeOptionalList)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      525    0.001    0.000    0.001    0.000 {imp.get_suffixes}
      121    0.000    0.000    0.001    0.000 pyparsing.py:2327(__init__)
      122    0.000    0.000    0.001    0.000 mathtext.py:1544(__init__)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
       32    0.000    0.000    0.001    0.000 fontconfig_pattern.py:140(_family)
        1    0.001    0.001    0.001    0.001 scale.py:1(<module>)
      342    0.001    0.000    0.001    0.000 pkgutil.py:364(get_importer)
        5    0.000    0.000    0.001    0.000 transforms.py:1734(set)
      639    0.001    0.000    0.001    0.000 backend_pdf.py:2262(joinstyle_cmd)
       68    0.000    0.000    0.001    0.000 mathtext.py:170(render_glyph)
        1    0.000    0.000    0.001    0.001 legend_handler.py:724(create_artists)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6334(getdoc)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3312(setResultsName)
      387    0.001    0.000    0.001    0.000 pickle.py:1156(load_get)
      126    0.000    0.000    0.001    0.000 colors.py:632(__init__)
        1    0.000    0.000    0.001    0.001 file.py:78(_File)
       18    0.000    0.000    0.001    0.000 fromnumeric.py:56(take)
        1    0.001    0.001    0.001    0.001 polar.py:1(<module>)
      104    0.000    0.000    0.001    0.000 transforms.py:1508(get_affine)
        1    0.001    0.001    0.001    0.001 {method 'to_string_argb' of 'matplotlib.backends._backend_agg.BufferRegion' objects}
        1    0.001    0.001    0.001    0.001 {built-in method drawImage}
        1    0.000    0.000    0.001    0.001 cds.py:9(<module>)
      156    0.001    0.000    0.001    0.000 deprecation.py:23(_generate_deprecation_message)
        3    0.000    0.000    0.001    0.000 utils.py:1(<module>)
       10    0.000    0.000    0.001    0.000 artist.py:986(set)
      427    0.001    0.000    0.001    0.000 posixpath.py:112(basename)
      187    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      374    0.000    0.000    0.001    0.000 transforms.py:2782(get_matrix)
     4678    0.001    0.000    0.001    0.000 {callable}
        1    0.000    0.000    0.001    0.001 lsq_linear.py:1(<module>)
      109    0.001    0.000    0.001    0.000 {method 'translate' of 'unicode' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:301(_add_aliases)
      160    0.001    0.000    0.001    0.000 {built-in method devicePixelRatio}
        1    0.000    0.000    0.001    0.001 util.py:224(ignore_sigint)
       18    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:1577(MemoizedZipManifests)
      340    0.000    0.000    0.001    0.000 pprint.py:21(default_format_func)
      110    0.001    0.000    0.001    0.000 ticker.py:771(pprint_val)
       44    0.000    0.000    0.001    0.000 mathtext.py:216(get_hinting_type)
     2186    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       10    0.000    0.000    0.001    0.000 figure.py:873(set_size_inches)
        1    0.001    0.001    0.001    0.001 basic.py:10(<module>)
        1    0.000    0.000    0.001    0.001 py.py:1(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:1075(safe_eval)
        8    0.000    0.000    0.001    0.000 spines.py:392(set_position)
       12    0.000    0.000    0.001    0.000 transforms.py:2341(__eq__)
        7    0.000    0.000    0.001    0.000 legend.py:1184(_get_anchored_bbox)
        2    0.000    0.000    0.001    0.000 axis.py:2166(_get_label)
     15/4    0.000    0.000    0.001    0.000 pyparsing.py:3721(streamline)
       26    0.000    0.000    0.001    0.000 axis.py:544(apply_tickdir)
       10    0.000    0.000    0.001    0.000 _funcsigs.py:580(parameters)
        1    0.000    0.000    0.001    0.001 column.py:334(_FormatP)
      150    0.001    0.000    0.001    0.000 pyparsing.py:1167(setName)
      466    0.001    0.000    0.001    0.000 pyparsing.py:388(__getitem__)
        1    0.000    0.000    0.001    0.001 funcsigs.py:1(<module>)
       69    0.001    0.000    0.001    0.000 __init__.py:2802(_topmost_artist)
     2456    0.001    0.000    0.001    0.000 version.py:54(<lambda>)
        1    0.000    0.000    0.001    0.001 compressed.py:80(CompImageHeader)
      612    0.001    0.000    0.001    0.000 path.py:712(unit_circle)
        1    0.001    0.001    0.001    0.001 _linprog.py:16(<module>)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
       38    0.000    0.000    0.001    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.001    0.001 core.py:8(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1807(_pprint_table)
        1    0.001    0.001    0.001    0.001 _numdiff.py:1(<module>)
