#Title: ACRONYM II. The {beta} Pictoris Moving Group (Shkolnik+," 2017)""",,,,,,,,,,,,,,,,,
#Column,2MASS,(A16),2MASS name (HHMMSSss+DDMMSSs),[ucd=meta.id;meta.main],,,,,,,,,,,,,,
#Column,SpType,(a9),Spectral type,[ucd=src.spType],,,,,,,,,,,,,,
#Column,EW(Ha),(F5.1),[-73.6/3.9]? H{alpha} equivalent width ({AA}),[ucd=spect.line.eqWidth;em.line.Halpha],,,,,,,,,,,,,,
#Column,l_EW(Li),(A1),[<] Limit flag on EW(Li),[ucd=meta.code.error],,,,,,,,,,,,,,
#Column,EW(Li),(I3),[-39/920]? Li equivalent width ({AA}) [NULL integer written as an empty string],[ucd=spect.line.eqWidth],,,,,,,,,,,,,,
#Column,RV,(F6.2),[-25.6/23.5]? Radial velocity,[ucd=phys.veloc;pos.heliocentric],,,,,,,,,,,,,,
#Column,GType,(A5),"Gravity type (FLD-G, INT-G or VL-G) (G1)",[ucd=src.class],,,,,,,,,,,,,,
#Column,plx,(F5.1),[10.1/102.1]? Parallaxe {pi},[ucd=pos.parallax.trig],,,,,,,,,,,,,,
#Column,MmRV,(A2),Membership assessment of the RV (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmHa,(A1),Membership assessment of the H{alpha} emission (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmLi,(A1),Membership assessment of the Li absorption (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,BPMG,(A2),BPMG member? (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
2MASS,B-V,SpType,EW(Ha),l_EW(Li),EW(Li),RV,GType,plx,MmRV,MmHa,MmLi,BPMG,notes,2MASS,identifier,bib(B;V),binaries,bad B-V
2MASS J02272804+3058405,1.5,M2       ,-4.3, ,110,6,---  ,     ,Y ,Y,Y,Y,,2MASS J02272804+3058405,BD+30 397B                ,1987A&AS...71..413M,,
2MASS J02272924+3058246,1.18,K6       ,0, ,220,6.7,---  ,24.3,Y ,Y,Y,Y,bad,2MASS J02272924+3058246,BD+30 397                 ,,,
2MASS J02282694+0218331,,M5       ,     , ,   ,      ,VL-G ,     ,- ,-,-,Y?,OOR,2MASS J02282694+0218331,2MASS J02282694+0218331   ,,,
2MASS J02303239-4342232,1.071,K5       ,0, ,50,16,---  ,20.6,Y ,Y,Y,Y,binary -- or non-member,2MASS J02303239-4342232,CD-44 753                 ,,,
2MASS J02304623-4343493,1.32,K7       ,     , ,   ,12.4,---  ,     ,Y ,-,-,Y,OOR,2MASS J02304623-4343493,UCAC2 13050114            ,,,
2MASS J02365171-5203036,1.179,M2       ,-5.8, ,380,16,---  ,     ,Y ,Y,Y,Y,bad,2MASS J02365171-5203036,EXO 0235.2-5216           ,,,
2MASS J02412589+0559181,1.309,K6       ,-1.2, ,450,8.3,---  ,23.8,Y ,Y,Y,Y,,2MASS J02412589+0559181,BD+05 378                 ,2006A&A...460..695T;2012AcA....62...67K,,
2MASS J02501167-0151295,,M7       ,     , ,   ,      ,VL-G ,     ,- ,-,-,Y?,OOR,2MASS J02501167-0151295,TVLM 831-154910           ,,,
2MASS J02534448-7959133,,M6       ,     , ,   ,      ,FLD-G,     ,- ,-,-,N,OOR,2MASS J02534448-7959133,2MASS J02534448-7959133   ,,,
2MASS J03111547+0106307,,M6       ,     , ,   ,      ,FLD-G,     ,- ,-,-,N,OOR,2MASS J03111547+0106307,[BHR2005] 832-2           ,,,
2MASS J03323578+2843554,1.542,M4+M4.5  ,-5.7,<,31,9.4,---  ,     ,Y ,Y,?,Y,,2MASS J03323578+2843554,PM J03325+2843            ,2012yCat.1322....0Z,,
2MASS J03350208+2342356,,M7       ,-10.7, ,720,15.5,VL-G ,21.8,N ,Y,Y,Y?,OOR,2MASS J03350208+2342356,[SBB2014] 5121623         ,,,
2MASS J04373613-0228248,0.277,F0       ,     , ,   ,17.3,---  ,34,  , , ,,OOR,2MASS J04373613-0228248,* c Eri                   ,,,
2MASS J04373746-0229282,1.45,M0.5     ,-2.1, ,140,22.1,---  ,     ,Y ,Y,Y,Y,binary,2MASS J04373746-0229282,GJ 3305                   ,,,
2MASS J04433761+0002051,,L0       ,     , ,   ,19.5,VL-G ,47.3,  , , ,,OOR,2MASS J04433761+0002051,2MASSI J0443376+000205    ,,,
2MASS J04435686+3723033,2.032,M3       ,     , ,194,6.4,---  ,     ,Y ,-,Y,Y,OOR,2MASS J04435686+3723033,V* V962 Per               ,,,
2MASS J04480085+1439583,1,M5       ,-73.6, ,382,14.9,---  ,     ,Y ,Y,Y,Y,,2MASS J04480085+1439583,UCAC2 36944937            ,2012yCat.1322....0Z,,
2MASS J04480258+1439516,,M5       ,-16, ,501,14.9,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J04480258+1439516,UCAC3 210-20333           ,,,
2MASS J04593483+0147007,1.373,M0       ,-1.1, ,270,19.8,---  ,40.7,Y ,Y,Y,Y,,2MASS J04593483+0147007,V* V1005 Ori              ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J05004714-5715255,1.383,M0.5     ,-0.6, ,360,19.4,---  ,36.9,Y ,Y,Y,Y,,2MASS J05004714-5715255,CD-57 1054                ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J05015881+0958587,1.4,M4.1     ,-6.1,<,53,18.8,---  ,40.7,Y ,Y,?,Y?,OOR,2MASS J05015881+0958587,LP 476-207                ,,,
2MASS J05082729-2101444,,M5.6     ,-20.9, ,618,23.5,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J05082729-2101444,2MASS J05082729-2101444   ,,,
2MASS J05120636-2949540,,L5       ,     , ,   ,      ,INT-G,     ,  , , ,,OOR,2MASS J05120636-2949540,2MASS J05120636-2949540   ,,,
2MASS J05195327+0617258,1.19,---      ,     , ,   ,      ,---  ,     ,  , , ,,OOR,2MASS J05195327+0617258,GSC2.3 N9OB003170         ,,,
2MASS J05200029+0613036,1.259,K4       ,-0.2, ,470,19,---  ,     ,Y ,Y,Y,Y,bad,2MASS J05200029+0613036,2MASS J05200029+0613036   ,,,
2MASS J05203182+0616115,0.983,K4       ,-0.9, ,510,18,---  ,10.1,Y ,Y,Y,Y,bad,2MASS J05203182+0616115,RX J0520.5+0616           ,,,
2MASS J05241914-1601153,1.6,M4.9     ,-11.8, ,217,17.5,---  ,     ,Y ,Y,Y,Y,binary,2MASS J05241914-1601153,PM J05243-1601            ,,,
2MASS J05270477-1154033,0.537,F7       ,3.9, ,135,20.2,---  ,37.4,  , , ,,OOR,2MASS J05270477-1154033,V* AF Lep                 ,,,
2MASS J05294468-3239141,,M4.5     ,-10, ,   ,      ,---  ,38.2,- ,Y,-,Y?,OOR,2MASS J05294468-3239141,2MASS J05294468-3239141   ,,,
2MASS J05335981-0221325,1.49,M2.9     ,-6,<,49,20.9,---  ,     ,Y ,Y,?,Y,,2MASS J05335981-0221325,UCAC3 176-23654           ,2012yCat.1322....0Z,,
2MASS J05471708-5103594,0.17,A3       ,     , ,   ,20.2,---  ,51.4,  , , ,,OOR,2MASS J05471708-5103594,* bet Pic                 ,,,
2MASS J06131330-2742054,1.47,M3.5     ,-5.1,<,28,22.5,---  ,34,Y ,Y,?,Y,binary,2MASS J06131330-2742054,GSC 06513-00291           ,,,
2MASS J06182824-7202416,1.251,K6.5     ,-0.5, ,420,16.3,---  ,25.6,Y ,Y,Y,Y,,2MASS J06182824-7202416,V* AO Men                 ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J08173943-8243298,1.719,M4       ,-7.6, ,   ,15.6,---  ,     ,Y ,Y,-,Y,OOR,2MASS J08173943-8243298,ASAS J081742-8243.4       ,,,
2MASS J08224744-5726530,,M4.5+>L0 ,-7.3, ,   ,14.7,---  ,     ,Y ,Y,-,Y,OOR,2MASS J08224744-5726530,L 186-67                  ,,,
