#Title: ACRONYM II. The {beta} Pictoris Moving Group (Shkolnik+," 2017)""",,,,,,,,,,,,,,,,,
#Column,2MASS,(A16),2MASS name (HHMMSSss+DDMMSSs),[ucd=meta.id;meta.main],,,,,,,,,,,,,,
#Column,SpType,(a9),Spectral type,[ucd=src.spType],,,,,,,,,,,,,,
#Column,EW(Ha),(F5.1),[-73.6/3.9]? H{alpha} equivalent width ({AA}),[ucd=spect.line.eqWidth;em.line.Halpha],,,,,,,,,,,,,,
#Column,l_EW(Li),(A1),[<] Limit flag on EW(Li),[ucd=meta.code.error],,,,,,,,,,,,,,
#Column,EW(Li),(I3),[-39/920]? Li equivalent width ({AA}) [NULL integer written as an empty string],[ucd=spect.line.eqWidth],,,,,,,,,,,,,,
#Column,RV,(F6.2),[-25.6/23.5]? Radial velocity,[ucd=phys.veloc;pos.heliocentric],,,,,,,,,,,,,,
#Column,GType,(A5),"Gravity type (FLD-G, INT-G or VL-G) (G1)",[ucd=src.class],,,,,,,,,,,,,,
#Column,plx,(F5.1),[10.1/102.1]? Parallaxe {pi},[ucd=pos.parallax.trig],,,,,,,,,,,,,,
#Column,MmRV,(A2),Membership assessment of the RV (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmHa,(A1),Membership assessment of the H{alpha} emission (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmLi,(A1),Membership assessment of the Li absorption (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,BPMG,(A2),BPMG member? (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
2MASS,B-V,SpType,EW(Ha),l_EW(Li),EW(Li),RV,GType,plx,MmRV,MmHa,MmLi,BPMG,notes,2MASS,identifier,bib(B;V),binaries,bad B-V
2MASS J20333759-2556521,,M4.5     ,-11.4, ,504,-7.6,---  ,20.7,Y ,Y,Y,Y,OOR,2MASS J20333759-2556521,1SWASP J203337.61-255651.7,,,
2MASS J20334670-3733443,,M6       ,-26.8, ,   ,      ,INT-G,     ,- ,Y,-,Y?,OOR,2MASS J20334670-3733443,2MASS J20334670-3733443   ,,,
2MASS J20415111-3226073,1.566,M4.5     ,-14.5, ,0,-3.7,---  ,100.8,Y ,Y,?,Y,binary,2MASS J20415111-3226073,V* AT Mic                 ,,,
2MASS J20434114-2433534,,M3.7+M4.1,-6.5,<,28,-5.8,---  ,35.6,Y ,Y,?,Y,OOR,2MASS J20434114-2433534,EM* StHA 182              ,,,
2MASS J20450949-3120266,1.423,M1       ,-1.6, ,80,-4.1,---  ,102.1,Y ,Y,Y,Y,,2MASS J20450949-3120266,V* AU Mic                 ,2012AcA....62...67K,,
2MASS J20554767-1706509,0.52,F8       ,1.2, ,150,-4.5,---  ,21.9,  , , ,,OOR,2MASS J20554767-1706509,HD 199143                 ,,,
2MASS J20560274-1710538,0.978,K7+M0    ,-1.4, ,420,-6.9,---  ,     ,Y ,Y,Y,Y,binary,2MASS J20560274-1710538,V* AZ Cap                 ,,,
2MASS J21100461-1920302,1.53,K5.5     ,     , ,   ,0.6,---  ,     ,N ,-,-,Y?,OOR,2MASS J21100461-1920302,2MASS J21100461-1920302   ,,,
2MASS J21100535-1919573,,M2       ,-3.2,<,41,-5.7,---  ,     ,Y ,Y,?,Y,OOR,2MASS J21100535-1919573,GSC 06354-00357           ,,,
2MASS J21103096-2710513,,M5       ,-11.3, ,   ,-3.8,---  ,     ,Y ,Y,-,Y,OOR,2MASS J21103096-2710513,2MASS J21103096-2710513   ,,,
2MASS J21103147-2710578,,M4.5     ,-9, ,501,-4.3,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J21103147-2710578,2MASS J21103147-2710578   ,,,
2MASS J21140802-2251358,,L7       ,     , ,   ,-6,VL-G ,45.1,  , , ,,OOR,2MASS J21140802-2251358,2MASS J21140802-2251358   ,,,
2MASS J21212446-6654573,1.184,K2       ,     , ,0,-24.1,---  ,31.2,N ,-,?,Y?,OOR,2MASS J21212446-6654573,V* V390 Pav               ,,,
2MASS J21212873-6655063,1.345,K7       ,0.4, ,15,3.3,---  ,31.1,Y ,N,?,N,OOR,2MASS J21212873-6655063,TYC 9114-1267-1           ,,,
2MASS J21374019+0137137,1.77,M5       ,-9.4, ,   ,-15.1,---  ,     ,Y ,Y,-,Y,OOR,2MASS J21374019+0137137,RX J2137.6+0137           ,,,
2MASS J22004158+2715135,1.404,M0.0     ,-1, ,   ,-13.3,---  ,     ,Y ,Y,-,Y,OOR,2MASS J22004158+2715135,TYC 2211-1309-1           ,,,
2MASS J22081363+2921215,,L3       ,     , ,   ,      ,VL-G ,25.1,  , , ,,OOR,2MASS J22081363+2921215,2MASSW J2208136+292121    ,,,
2MASS J22424896-7142211,1.315,K7+K5    ,-1.9, ,440,8.6,---  ,27.4,Y ,Y,Y,Y,,2MASS J22424896-7142211,CPD-72 2713               ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J22445794-3315015,1.516,M4       ,-7,<,30,3.1,---  ,48.2,Y ,Y,?,Y,,2MASS J22445794-3315015,V* WW PsA                 ,2010MNRAS.403.1949K;2012AcA....62...67K,,
2MASS J22450004-3315258,1.57,M4.5     ,-6, ,450,2,---  ,45.5,Y ,Y,Y,Y,,2MASS J22450004-3315258,V* TX PsA                 ,2006A&A...460..695T,,
2MASS J23172807+1936469,,M3.5+M4.5,-3.6, ,   ,-3.7,---  ,     ,Y ,Y,-,Y,OOR,2MASS J23172807+1936469,G 68-5                    ,,,
2MASS J23301341-2023271,1.52,M3       ,-3.3, ,0,-5.7,---  ,62,N ,Y,?,Y?,OOR,2MASS J23301341-2023271,G 273-59                  ,,,
2MASS J23314492-0244395,1.27,M4.5     ,-19, ,-39,-5,---  ,     ,Y ,Y,?,Y,OOR,2MASS J23314492-0244395,V* AF Psc                 ,,,
2MASS J23323085-1215513,1.741,M0       ,-2.8, ,185,1.2,---  ,36,Y ,Y,Y,Y,bad B-V value,2MASS J23323085-1215513,BD-13 6424                ,,,
2MASS J23353085-1908389,,M5       ,     , ,   ,      ,INT-G,     ,- ,-,-,Y?,OOR,2MASS J23353085-1908389,2MASS J23353085-1908389   ,,,
2MASS J23500639+2659519,,M3.5     ,-9.8, ,   ,-0.7,---  ,     ,Y ,Y,-,Y,OOR,2MASS J23500639+2659519,1SWASP J235006.40+265952.1,,,
2MASS J23512227+2344207,,M4       ,-7.3,<,20,-2.1,---  ,     ,Y ,Y,?,Y,OOR,2MASS J23512227+2344207,G 68-46                   ,,,
2MASS J23542220-0811289,,L5       ,     , ,   ,      ,VL-G ,     ,  , , ,,OOR,2MASS J23542220-0811289,2MASS J23542220-0811289   ,,,
2MASS J00164976+4515417,,M4.5     ,-7.3,<,50,-12.1,---  ,     ,Y?,Y,?,Y?,OOR,2MASS J00164976+4515417,2MASS J00164976+4515417   ,,,
2MASS J00193931+1951050,,M4.5     ,-6.8, ,120,-7,---  ,     ,Y ,Y,Y,Y?,OOR,2MASS J00193931+1951050,2MASS J00193931+1951050   ,,,
2MASS J00194303+1951117,,M4.7     ,-5.1,<,50,-6.7,---  ,     ,Y ,Y,?,Y,OOR,2MASS J00194303+1951117,2MASS J00194303+1951117   ,,,
2MASS J00281434-3227556,1.58,M4.3     ,-10.6, ,378,6.8,---  ,     ,Y ,Y,Y,Y,binary,2MASS J00281434-3227556,GR* 9                     ,,,
2MASS J00413538-5621127,,M7.9     ,-34.1, ,134,6.6,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J00413538-5621127,DENIS J004135.3-562112    ,,,
2MASS J00482667-1847204,,M4.6     ,-6.6, ,530,7.2,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J00482667-1847204,2MASS J00482667-1847204   ,,,
2MASS J00501752+0837341,1.561,M3.9     ,-4.8, ,150,2.1,---  ,     ,Y ,Y,Y,Y,,2MASS J00501752+0837341,UCAC4 494-001142          ,2012yCat.1322....0Z,,
2MASS J01303534+2008393,,M4.7     ,-8.1,<,50,-2.8,---  ,     ,Y?,Y,?,Y?,OOR,2MASS J01303534+2008393,2MASS J01303534+2008393   ,,,
2MASS J02241739+2031513,,M5.8     ,-10.7, ,680,8.6,INT-G,     ,Y ,Y,Y,Y,OOR,2MASS J02241739+2031513,2MASS J02241739+2031513   ,,,
2MASS J02335984-1811525,,M2.9     ,-4.6,<,50,12,---  ,     ,Y ,Y,?,Y,OOR,2MASS J02335984-1811525,2MASS J02335984-1811525   ,,,
2MASS J02450826-0708120,,M4.1     ,-8.3, ,460,11.4,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J02450826-0708120,2MASS J02450826-0708120   ,,,
2MASS J02485260-3404246,1.552,M3.9     ,-7,<,50,14.8,INT-G,     ,Y ,Y,?,Y?,OOR,2MASS J02485260-3404246,UCAC3 112-6119            ,,,
2MASS J02495639-0557352,,M5.9     ,-11.6, ,590,14.4,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J02495639-0557352,2MASS J02495639-0557352   ,,,
2MASS J03255277-3601161,1.58,M4.5     ,-6.2,<,50,16.6,---  ,     ,Y ,Y,?,Y,,2MASS J03255277-3601161,UCAC2 16305530            ,2012yCat.1322....0Z,,
2MASS J03363144-2619578,,M6.1     ,-11.2, ,330,16.6,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J03363144-2619578,2MASS J03363144-2619578   ,,,
2MASS J03370343-3042318,,M6.4     ,-10.3, ,560,11.9,FLD-G,     ,Y?,Y,Y,Y?,OOR,2MASS J03370343-3042318,2MASS J03370343-3042318   ,,,
2MASS J03393700+4531160,1.66,M3.5     ,-4.6,<,50,7.7,---  ,     ,Y ,Y,?,Y?,OOR,2MASS J03393700+4531160,UCAC4 678-022342          ,,,
2MASS J03550477-1032415,,M8.9     ,-7, ,920,17,INT-G,     ,Y ,Y,Y,Y,OOR,2MASS J03550477-1032415,2MASS J03550477-1032415   ,,,
2MASS J04232720+1115174,,M5.7     ,-4.1, ,580,14.3,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J04232720+1115174,2MASS J04232720+1115174   ,,,
2MASS J05015665+0108429,,M3.6     ,-4.9,<,50,18.6,---  ,     ,Y ,Y,?,Y?,OOR,2MASS J05015665+0108429,UCAC4 456-008319          ,,,
2MASS J05061292+0439272,1.52,M3.8     ,-6.2, ,270,18.8,---  ,     ,Y ,Y,Y,Y,,2MASS J05061292+0439272,RX J0506.2+0439           ,2012yCat.1322....0Z,,
2MASS J05363846+1117487,1.57,M3.2     ,-2.5,<,50,20.7,---  ,     ,Y?,Y,?,Y?,OOR,2MASS J05363846+1117487,UCAC3 203-28522           ,,,
2MASS J13215631-1052098,1.102,M4.2     ,-5.6,<,50,-4,---  ,     ,Y ,Y,?,Y,crappy B-V,2MASS J13215631-1052098,UCAC4 396-055485          ,,,
2MASS J15063505-3639297,,M4.8     ,-12.6, ,780,0,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J15063505-3639297,2MASS J15063505-3639297   ,,,
2MASS J18011345+0948379,1.58,M4.0     ,-11.4, ,150,-22.9,INT-G,     ,Y ,Y,Y,Y,,2MASS J18011345+0948379,UCAC2 35242146            ,2012yCat.1322....0Z,,
2MASS J18055491-5704307,1.51,M3.6     ,-6.1,<,50,-0.6,---  ,     ,Y ,Y,?,Y,,2MASS J18055491-5704307,UCAC3 66-407600           ,2012yCat.1322....0Z,,
2MASS J18090694-7613239,,M5.6     ,-8.3, ,600,7,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J18090694-7613239,SIPS J1809-7613           ,,,
2MASS J18092970-5430532,,M5.6     ,-8.2, ,560,-2,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J18092970-5430532,2MASS J18092970-5430532   ,,,
2MASS J18435838-3559096,,M4.5     ,-16.6, ,590,-5.2,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J18435838-3559096,2MASS J18435838-3559096   ,,,
2MASS J18471351-2808558,,M5.1     ,-7.5, ,640,-7.5,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J18471351-2808558,2MASS J18471351-2808558   ,,,
2MASS J19082195-1603249,,M6.8     ,-8, ,530,-9.1,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J19082195-1603249,2MASS J19082195-1603249   ,,,
2MASS J19260075-5331269,,M4.2     ,-2.9, ,150,-1.3,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J19260075-5331269,2MASS J19260075-5331269   ,,,
2MASS J19300396-2939322,,M4.2     ,-6.2,<,50,-5.2,---  ,     ,Y ,Y,?,Y,OOR,2MASS J19300396-2939322,2MASS J19300396-2939322   ,,,
2MASS J20083784-2545256,,M4.7     ,-5.5, ,220,-5.7,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J20083784-2545256,2MASS J20083784-2545256   ,,,
2MASS J20085368-3519486,,M3.6     ,-6.7,<,50,-3.7,---  ,     ,Y ,Y,?,Y,OOR,2MASS J20085368-3519486,2MASS J20085368-3519486   ,,,
2MASS J21200779-1645475,,M4.3     ,-3.9,<,50,-5.1,---  ,     ,Y ,Y,?,Y,OOR,2MASS J21200779-1645475,2MASS J21200779-1645475   ,,,
2MASS J21384755+0504518,,M3.9     ,-4.8,<,50,-16.1,---  ,     ,Y ,Y,?,Y?,OOR,2MASS J21384755+0504518,2MASS J21384755+0504518   ,,,
2MASS J22085034+1144131,,M4.4     ,-5,<,50,-9.3,---  ,     ,Y ,Y,?,Y,OOR,2MASS J22085034+1144131,UCAC4 509-143643          ,,,
2MASS J22334687-2950101,,M7.4     ,-22.2, ,650,-1.9,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J22334687-2950101,2MASS J22334687-2950101   ,,,
2MASS J23010610+4002360,,M7.3     ,-8.9, ,620,-16.9,VL-G ,     ,N ,Y,Y,Y?,OOR,2MASS J23010610+4002360,2MASS J23010610+4002360   ,,,
2MASS J23355015-3401477,,M6.2     ,-8.4, ,620,5.9,VL-G ,     ,Y ,Y,Y,Y,OOR,2MASS J23355015-3401477,2MASS J23355015-3401477   ,,,
